RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
11450,ANURA,LEIOPELMATIDAE,Leiopelma archeyi,Archey's Frog,62.80319614,Critically Endangered,4,6.928392008,1,New Zealand,16.42792702
1272,CAUDATA,CRYPTOBRANCHIDAE,Andrias davidianus,Chinese Giant Salamander,61.18251793,Critically Endangered,4,6.90266262,2,China,16.42792702
58051,ANURA,NASIKABATRACHIDAE,Nasikabatrachus sahyadrensis,Purple Frog,107.281039,Endangered,3,6.764171602,3,India,16.42792702
59048,ANURA,SOOGLOSSIDAE,Sechellophryne pipilodryas,Seychelles Palm Frog,51.84541603,Critically Endangered,4,6.739959695,4,Seychelles,16.42792702
14663,ANURA,SOOGLOSSIDAE,Sooglossus thomasseti,Thomasset's Frog,50.86188903,Critically Endangered,4,6.721172927,5,Seychelles,16.42792702
59649,GYMNOPHIONA,SCOLECOMORPHIDAE,Crotaphatrema lamottei,Mount Oku Caecilian,41.84070855,Critically Endangered,4,6.530077507,6,Cameroon,16.42792702
21529,ANURA,MYOBATRACHIDAE,Taudactylus acutirostris,Sharp Snouted Day Frog,41.41061596,Critically Endangered,4,6.51998743,7,Australia,16.42792702
21531,ANURA,MYOBATRACHIDAE,Taudactylus eungellensis,Eungella Day Frog,41.41061596,Critically Endangered,4,6.51998743,7,Australia,16.42792702
21533,ANURA,MYOBATRACHIDAE,Taudactylus pleione,Kroombit Tinker Frog,41.41061596,Critically Endangered,4,6.51998743,7,Australia,16.42792702
21534,ANURA,MYOBATRACHIDAE,Taudactylus rheophilus,Northern Tinker Frog,41.41061596,Critically Endangered,4,6.51998743,7,Australia,16.42792702
9773,ANURA,HELEOPHRYNIDAE,Heleophryne rosei,Table Mountain Ghost Frog,39.15446715,Critically Endangered,4,6.465322418,11,South Africa,16.42792702
6715,ANURA,ALYTIDAE,Latonia nigriventer,Hula Painted Frog,37.93593046,Critically Endangered,4,6.434506209,12,Israel,16.42792702
54427,ANURA,ARTHROLEPTIDAE,Leptodactylodon axillaris,NA,37.77116085,Critically Endangered,4,6.430265415,13,Cameroon,16.42792702
54432,ANURA,ARTHROLEPTIDAE,Leptodactylodon erythrogaster,Redbelly Egg Frog,37.77116085,Critically Endangered,4,6.430265415,13,Cameroon,16.42792702
54440,ANURA,ARTHROLEPTIDAE,Leptodactylodon wildi,NA,37.77116085,Critically Endangered,4,6.430265415,13,Cameroon,16.42792702
19514,ANURA,RHINODERMATIDAE,Rhinoderma rufum,Northern Darwin's Frog,36.381162,Critically Endangered,4,6.39375561,16,Chile,16.42792702
57703,ANURA,BREVICIPITIDAE,Balebreviceps hillmani,Bale Mountains Treefrog,36.17859046,Critically Endangered,4,6.388321793,17,Ethiopia,16.42792702
58253,ANURA,CONRAUIDAE,Conraua derooi,Togo Slippery Frog,35.44422997,Critically Endangered,4,6.368371868,18,"Ghana,Togo",16.42792702
58666,ANURA,RANIDAE,Glandirana minima,Little Gland Frog,32.00072149,Critically Endangered,4,6.269118147,19,China,16.42792702
59220,CAUDATA,PLETHODONTIDAE,Bradytriton silus,Finca Chiblac Salamander,31.90953558,Critically Endangered,4,6.266351173,20,Guatemala,16.42792702
