RL ID,Order,Family,Species,Common name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
22693049,CHARADRIIFORMES,PEDIONOMIDAE,Pedionomus torquatus,Plains-wanderer,38.94982,CR,4,6.460212889,1,Australia,5.762774
22697536,PELECANIFORMES,THRESKIORNITHIDAE,Thaumatibis gigantea,Giant Ibis,37.96115,CR,4,6.435153718,2,"Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam",5.762774
22689559,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles savesi,New Caledonian Owlet-nightjar,34.41364,CR,4,6.339685779,3,New Caledonia,5.762774
22697636,CATHARTIFORMES,CATHARTIDAE,Gymnogyps californianus,California Condor,33.39032,CR,4,6.310363852,4,"Mexico,United States",5.762774
22692211,EURYPYGIFORMES,RHYNOCHETIDAE,Rhynochetos jubatus,Kagu,55.38186,EN,3,6.111589017,5,New Caledonia,5.762774
22697742,SULIFORMES,FREGATIDAE,Fregata andrewsi,Christmas Frigatebird,22.67818,CR,4,5.937142671,6,"Australia,Brunei Darussalam,Cocos (Keeling) Islands,China,Christmas Island,Hong Kong,Indonesia,India,Japan,Cambodia,Sri Lanka,Malaysia,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam",5.762774
22692015,OTIDIFORMES,OTIDIDAE,Houbaropsis bengalensis,Bengal Florican,19.61591,CR,4,5.79865183,7,"Bangladesh,India,Cambodia,Nepal,Viet Nam",5.762774
22685245,PSITTACIFORMES,STRIGOPIDAE,Strigops habroptila,Kakapo,18.63107,CR,4,5.749702237,8,New Zealand,5.762774
22726340,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus exul,New Caledonian Nightjar,18.06007,CR (PE),4,5.720184293,9,New Caledonia,5.762774
22724459,CUCULIFORMES,CUCULIDAE,Carpococcyx viridis,Sumatran Ground-cuckoo,18.01962,CR,4,5.7180598,10,Indonesia,5.762774
22728808,PROCELLARIIFORMES,OCEANITIDAE,Fregetta maoriana,New Zealand Storm-petrel ,17.76495,CR,4,5.70457949,11,New Zealand,5.762774
103730380,PASSERIFORMES,CALLAEIDAE,Callaeas cinereus,South Island Kokako,17.73736,CR (PE),4,5.703108114,12,New Zealand,5.762774
22698585,PASSERIFORMES,ACANTHISITTIDAE,Xenicus gilviventris,New Zealand Rockwren,35.03411,EN,3,5.663907532,13,New Zealand,5.762774
