Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
GINKGOOPSIDA,GINKGOALES,GINKGOACEAE,Ginkgo biloba,315,EN,3,7.835183755,1,China,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Wollemia nobilis,139.5857447,CR,4,7.718406307,2,Australia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria angustifolia,67.70773046,CR,4,7.00245044,3,"Argentina, Brazil, Paraguay",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Acmopyle sahniana,57.55501496,CR,4,6.842555461,4,Fiji,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Pherosphaera fitzgeraldii,51.43903752,CR,4,6.732240027,5,Australia,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Glyptostrobus pensilis,35.16556136,CR,4,6.360696045,6,"China, Lao People's Democratic Republic, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria araucana,67.70773046,EN,3,6.309303259,7,"Argentina, Chile",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Microcycas calocoma,30.81920631,CR,4,6.232658802,8,Cuba,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Parasitaxus ustus,109.3352744,VU,2,6.08981804,9,New Caledonia,Parasitaxus usta,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Cunninghamia konishii,52.12485703,EN,3,6.052086478,10,"China, Lao People's Democratic Republic, Taiwan, Province of China, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Metasequoia glyptostroboides,51.26385546,EN,3,6.035746574,11,China,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Sequoia sempervirens,47.80520296,EN,3,5.967278467,12,United States,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Sequoiadendron giganteum,47.80520296,EN,3,5.967278467,12,United States,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys standleyi,46.23424018,EN,3,5.934560599,14,Costa Rica,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Torreya taxifolia,21.6257192,CR,4,5.891675999,15,United States,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis montana,21.09252525,CR,4,5.86782805,16,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Taiwania cryptomerioides,87.20464826,VU,2,5.865954024,17,"China, Myanmar, Taiwan, Province of China, Viet Nam",NA,6.677812022
