RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
136322,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus attenboroughi,Sir David's Long-beaked Echidna,46.569828,Critically Endangered,4,6.634787417,1,Indonesia,7.564372143
23179,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus bruijnii,Western Long-beaked Echidna,46.569828,Critically Endangered,4,6.634787417,1,Indonesia,7.564372143
14260,CHIROPTERA,MYSTACINIDAE,Mystacina robusta,New Zealand Greater Short-tailed Bat,41.38425371,Critically Endangered,4,6.519365641,3,New Zealand,7.564372143
12119,CETARTIODACTYLA,INIIDAE,Lipotes vexillifer,Baiji,39.23933215,Critically Endangered,4,6.467433651,4,China,7.564372143
3339,DIPROTODONTIA,BURRAMYIDAE,Burramys parvus,Mountain Pygmy Possum,34.65598467,Critically Endangered,4,6.346505728,5,Australia,7.564372143
20321,EULIPOTYPHLA,SOLENODONTIDAE,Solenodon paradoxus,Hispaniolan Solenodon,61.5334489,Endangered,3,6.215143138,6,"Dominican Republic,Haiti",7.564372143
20320,EULIPOTYPHLA,SOLENODONTIDAE,Atopogale cubana,Cuban Solenodon,61.5334489,Endangered,3,6.215143138,6,Cuba,7.564372143
6553,PERISSODACTYLA,RHINOCEROTIDAE,Dicerorhinus sumatrensis,Sumatran Rhinoceros,30.02221006,Critically Endangered,4,6.207292124,8,"Indonesia,Malaysia",7.564372143
6557,PERISSODACTYLA,RHINOCEROTIDAE,Diceros bicornis,Black Rhinoceros,27.73204724,Critically Endangered,4,6.130601851,9,"Angola,Kenya,Mozambique,Namibia,Tanzania, United Republic of,South Africa,Zimbabwe",7.564372143
9564,DIPROTODONTIA,PETAURIDAE,Gymnobelideus leadbeateri,Leadbeater's Possum,27.68176025,Critically Endangered,4,6.128850112,10,Australia,7.564372143
11343,DIPROTODONTIA,VOMBATIDAE,Lasiorhinus krefftii,Northern Hairy-nosed Wombat,26.19057565,Critically Endangered,4,6.075459152,11,Australia,7.564372143
19495,PERISSODACTYLA,RHINOCEROTIDAE,Rhinoceros sondaicus,Javan Rhinoceros,25.32572861,Critically Endangered,4,6.043135457,12,"Indonesia,Viet Nam",7.564372143
41758,CETARTIODACTYLA,PLATANISTIDAE,Platanista gangetica,South Asian River Dolphin,50.03310219,Endangered,3,6.011916026,13,"Bangladesh,India,Nepal,Pakistan",7.564372143
63543,CETARTIODACTYLA,CAMELIDAE,Camelus ferus,Bactrian Camel,24.25789969,Critically Endangered,4,6.001727688,14,"China,Mongolia",7.564372143
136557,RODENTIA,OCTODONTIDAE,Tympanoctomys aureus,Golden Vizcacha Rat,22.19067908,Critically Endangered,4,5.916339156,15,Argentina,7.564372143
136714,RODENTIA,OCTODONTIDAE,Tympanoctomys loschalchalerosorum,Chalchalero Viscacha Rat,22.19067908,Critically Endangered,4,5.916339156,15,Argentina,7.564372143
12764,PHOLIDOTA,MANIDAE,Manis pentadactyla,Chinese Pangolin,20.68665552,Critically Endangered,4,5.849285841,17,"Bhutan,China,Hong Kong,India,Lao People's Democratic Republic,Myanmar,Nepal,Thailand,Taiwan, Province of China,Viet Nam",7.564372143
12763,PHOLIDOTA,MANIDAE,Manis javanica,Sunda Pangolin,20.68642086,Critically Endangered,4,5.84927502,18,"Brunei Darussalam,Indonesia,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Singapore,Thailand,Viet Nam",7.564372143
6302,PRIMATES,DAUBENTONIIDAE,Daubentonia madagascariensis,Aye-aye,41.88164751,Endangered,3,5.837885479,19,Madagascar,7.564372143
10826,PRIMATES,INDRIIDAE,Indri indri,Indri,20.30505119,Critically Endangered,4,5.831532912,20,Madagascar,7.564372143
7140,PROBOSCIDEA,ELEPHANTIDAE,Elephas maximus,Asian Elephant,39.66277708,Endangered,3,5.784754648,21,"Bangladesh,Bhutan,China,Indonesia,India,Cambodia,Lao People's Democratic Republic,Sri Lanka,Myanmar,Malaysia,Nepal,Thailand,Viet Nam",7.564372143
714,CARNIVORA,AILURIDAE,Ailurus fulgens,Red Panda,39.41042235,Endangered,3,5.778529272,22,"Bhutan,China,India,Myanmar,Nepal",7.564372143
61925,PILOSA,BRADYPODIDAE,Bradypus pygmaeus,Pygmy Three-toed Sloth,18.99130032,Critically Endangered,4,5.767885917,23,Panama,7.564372143
39761,PRIMATES,LORISIDAE,Nycticebus javanicus,Javan Slow Loris,18.88917616,Critically Endangered,4,5.762764394,24,Indonesia,7.564372143
3326,LAGOMORPHA,LEPORIDAE,Bunolagus monticularis,Riverine Rabbit,18.68448366,Critically Endangered,4,5.752419416,25,South Africa,7.564372143
5748,AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris wintoni,De Winton's Golden Mole,18.58650834,Critically Endangered,4,5.747429701,26,South Africa,7.564372143
21472,PERISSODACTYLA,TAPIRIDAE,Tapirus indicus,Malay Tapir,37.63095761,Endangered,3,5.733495507,27,"Indonesia,Myanmar,Malaysia,Thailand",7.564372143
21471,PERISSODACTYLA,TAPIRIDAE,Tapirus bairdii,Baird's Tapir,37.49722939,Endangered,3,5.730027816,28,"Belize,Colombia,Costa Rica,Guatemala,Honduras,Mexico,Nicaragua,Panama",7.564372143
10831,CETARTIODACTYLA,INIIDAE,Inia geoffrensis,Amazon River Dolphin,35.83910599,Endangered,3,5.686001485,29,NA,7.564372143
41576,PRIMATES,CHEIROGALEIDAE,Cheirogaleus sibreei,Sibree's Dwarf Lemur,17.36688978,Critically Endangered,4,5.683138297,30,Madagascar,7.564372143
5112,CHIROPTERA,EMBALLONURIDAE,Coleura seychellensis,Seychelles Sheath-tailed Bat,17.33001412,Critically Endangered,4,5.681128554,31,Seychelles,7.564372143
18492,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus occidentalis,Western Ringtail Possum,17.25540362,Critically Endangered,4,5.677049847,32,Australia,7.564372143
10032,CETARTIODACTYLA,HIPPOPOTAMIDAE,Choeropsis liberiensis,Pygmy Hippopotamus,32.89037006,Endangered,3,5.602572447,33,"Côte d'Ivoire,Guinea,Liberia,Sierra Leone",7.564372143
15090,RODENTIA,OCTODONTIDAE,Octodon pacificus,NA,15.8515884,Critically Endangered,4,5.597033642,34,Chile,7.564372143
14222,DASYUROMORPHIA,MYRMECOBIIDAE,Myrmecobius fasciatus,Numbat,31.32678353,Endangered,3,5.55533764,35,Australia,7.564372143
18107,DIPROTODONTIA,POTOROIDAE,Potorous gilbertii,Gilbert's Potoroo,14.97200527,Critically Endangered,4,5.543426241,36,Australia,7.564372143
40652,PRIMATES,GALAGIDAE,Galagoides rondoensis,Rondo Dwarf Galago,14.92148105,Critically Endangered,4,5.540257929,37,"Tanzania, United Republic of",7.564372143
179234,PRIMATES,TARSIIDAE,Tarsius tumpara,Siau Island Tarsier,14.8950241,Critically Endangered,4,5.538594833,38,Indonesia,7.564372143
136824,CHIROPTERA,NATALIDAE,Natalus jamaicensis,Jamaican Greater Funnel-eared Bat,14.72050677,Critically Endangered,4,5.527554746,39,Jamaica,7.564372143
