RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
867,Crocodylia,Alligatoridae,Alligator sinensis,Chinese Alligator,59.07639755,Critically Endangered,4,6.868205767,5,China,16.13449009
8966,Crocodylia,Gavialidae,Gavialis gangeticus,Gharial,41.05656485,Critically Endangered,4,6.511604217,17,"India,Nepal",16.13449009
5660,Crocodylia,Crocodylidae ,Mecistops cataphractus,Slender-snouted Crocodile,18.9064621,Critically Endangered,4,5.76363313,45,"Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Gambia,Liberia,Sierra Leone",16.13449009
21981,Crocodylia,Crocodylidae ,Tomistoma schlegelii,False Gharial,26.97098042,Vulnerable,2,4.71746192,361,"Brunei Darussalam,Indonesia,Malaysia",16.13449009
15635,Crocodylia,Crocodylidae ,Osteolaemus tetraspis,African Dwarf Crocodile,19.07818591,Vulnerable,2,4.385928309,458,"Angola,Burkina Faso,Benin,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Gambia,Guinea,Guinea-Bissau,Liberia,Nigeria,Sierra Leone,Senegal,Togo",16.13449009
172958,Squamata,Xenotyphlopidae,Xenotyphlops grandidieri,Madagascar Blindsnake,67.65863825,Critically Endangered,4,7.001735677,4,Madagascar,11.17837196
57287221,Squamata,Shinisauridae,Shinisaurus crocodilurus,Chinese Crocodile Lizard,103.4246732,Endangered,3,6.727907523,6,"China,Viet Nam",11.17837196
194258,Squamata,Sphaerodactylidae,Gonatodes daudini,Union Island Gecko,30.48127685,Critically Endangered,4,6.221981706,22,Saint Vincent and the Grenadines,11.17837196
66083295,Squamata,Sphaerodactylidae,Gonatodes infernalis,NA,28.65600837,Critically Endangered,4,6.16225347,23,"Venezuela, Bolivarian Republic of",11.17837196
62251,Squamata,Scincidae,Gongylomorphus bojerii,Bojer's Skink,24.28648509,Critically Endangered,4,6.002858789,24,Mauritius,11.17837196
